id,session_id,timestamp,total_faces,eye_contact_score,alertness_score,smile_count,laugh_count,overall_engagement,individual_scores
51,9,1679436.066169125,1,100.0,30.0,1,1,39.400005474175344,"{""0"": {""eye_contact"": ""True"", ""alertness"": 0.3, ""attention_quality"": 39.768, ""emotional_engagement"": 0.0, ""blink_rate"": 20.0, ""fidgeting_score"": 0.3039452582465278, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [1.6666666666666665, 7.3828125, 0.0]}}"
52,9,1679441.1429185,1,100.0,70.0,4,4,62.85424646742078,"{""0"": {""eye_contact"": ""True"", ""alertness"": 0.7, ""attention_quality"": 70.232, ""emotional_engagement"": 0.0, ""blink_rate"": 20.0, ""fidgeting_score"": 0.1535353257921007, ""attention_span"": 0.6, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-3.75, 8.9296875, 0.0]}}"
53,9,1679446.144144291,1,100.0,30.0,8,8,38.9369716796875,"{""0"": {""eye_contact"": ""True"", ""alertness"": 0.3, ""attention_quality"": 38.20355555555556, ""emotional_engagement"": 0.0, ""blink_rate"": 20, ""fidgeting_score"": 0.2409498697916667, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [4.666666666666667, 6.9609375, 0.0]}}"
54,9,1679451.274377375,1,100.0,60.0,1,1,44.24004944539665,"{""4"": {""eye_contact"": ""True"", ""alertness"": 0.6, ""attention_quality"": 44.53061224489796, ""emotional_engagement"": 0.0, ""blink_rate"": 0, ""fidgeting_score"": 1.191342280727395, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [0.75, -12.515625, 0.0]}}"
55,9,1679456.350388,1,100.0,30.0,1,1,31.286542694226313,"{""7"": {""eye_contact"": ""True"", ""alertness"": 0.3, ""attention_quality"": 36.44297520661157, ""emotional_engagement"": 0.0, ""blink_rate"": 0, ""fidgeting_score"": 1.4634986775716148, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [7.666666666666666, 4.9921875, 0.0]}}"
