id,session_id,timestamp,total_faces,eye_contact_score,alertness_score,smile_count,laugh_count,overall_engagement,individual_scores
42,8,1678833.682495541,1,100.0,100.0,5,5,85.6,"{""0"": {""eye_contact"": ""True"", ""alertness"": 1.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.5833333333333334, 3.515625, 0.0]}}"
43,8,1678838.782189125,1,100.0,30.0,1,1,54.125,"{""1"": {""eye_contact"": ""True"", ""alertness"": 0.3, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [1.4166666666666665, -11.4609375, 0.0]}}"
44,8,1678843.814541333,1,100.0,100.0,5,5,85.6,"{""1"": {""eye_contact"": ""True"", ""alertness"": 1.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.16666666666666669, -9.28125, 0.0]}}"
45,8,1678848.920305541,1,100.0,100.0,7,7,85.6,"{""1"": {""eye_contact"": ""True"", ""alertness"": 1.0, ""is_smiling"": true, ""is_laughing"": true, ""head_pose"": [0.08333333333333334, -5.1328125, 0.0]}}"
46,8,1678853.989754958,1,100.0,30.0,2,2,56.0,"{""4"": {""eye_contact"": ""True"", ""alertness"": 0.3, ""is_smiling"": true, ""is_laughing"": true, ""head_pose"": [1.5833333333333333, 0.421875, 0.0]}}"
47,8,1678859.087127958,0,0.0,0.0,0,0,0.0,{}
48,8,1678864.133276833,1,100.0,87.52244830836571,3,3,82.0089793233463,"{""6"": {""eye_contact"": ""True"", ""alertness"": 0.8752244830836571, ""is_smiling"": true, ""is_laughing"": true, ""head_pose"": [1.5833333333333333, 7.171874999999999, 0.0]}}"
49,8,1678869.141723833,1,100.0,30.0,0,0,46.0,"{""10"": {""eye_contact"": ""True"", ""alertness"": 0.3, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [0.08333333333333334, -8.7890625, 0.0]}}"
50,8,1678874.199911291,1,100.0,100.0,1,1,85.0375,"{""11"": {""eye_contact"": ""True"", ""alertness"": 1.0, ""is_smiling"": true, ""is_laughing"": true, ""head_pose"": [-0.75, 5.6953125, 0.0]}}"
