id,session_id,timestamp,total_faces,eye_contact_score,alertness_score,smile_count,laugh_count,overall_engagement,individual_scores
90,11,2082388.914687583,2,50.0,55.00000000000001,1,1,54.216002849652995,"{""0"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 8.0, ""fidgeting_score"": 0.0, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.6666666666666667, 38.6015625, 0.0]}, ""1"": {""eye_contact"": ""True"", ""alertness"": 0.7, ""attention_quality"": 97.72888888888889, ""emotional_engagement"": 90.0, ""blink_rate"": 0, ""fidgeting_score"": 0.0004163208007812487, ""attention_span"": 0.9666666666666667, ""is_smiling"": true, ""is_laughing"": true, ""head_pose"": [-3.5, 2.8828124999999996, 0.0]}}"
91,11,2082394.032988208,2,50.0,55.00000000000001,2,2,52.861631377390594,"{""0"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 8.0, ""fidgeting_score"": 0.0, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.6666666666666667, 38.6015625, 0.0]}, ""1"": {""eye_contact"": ""True"", ""alertness"": 0.7, ""attention_quality"": 97.912, ""emotional_engagement"": 0.0, ""blink_rate"": 8.0, ""fidgeting_score"": 0.0033724500868055653, ""attention_span"": 1.7, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-3.333333333333333, 3.0937500000000004, 0.0]}}"
92,11,2082399.141349083,3,33.33333333333333,50.0,6,6,46.336525724326314,"{""0"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 8.0, ""fidgeting_score"": 0.0, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.6666666666666667, 38.6015625, 0.0]}, ""1"": {""eye_contact"": ""True"", ""alertness"": 0.7, ""attention_quality"": 99.21688888888889, ""emotional_engagement"": 0.0, ""blink_rate"": 20, ""fidgeting_score"": 0.058341010199652786, ""attention_span"": 1.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.5833333333333334, 0.9843749999999999, 0.0]}, ""5"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 8.0, ""fidgeting_score"": 0.0009179958767361132, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [7.5, 28.125, 0.0]}}"
93,11,2082404.212230666,2,50.0,40.0,6,6,40.965274455728355,"{""0"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 8.0, ""fidgeting_score"": 0.0, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.6666666666666667, 38.6015625, 0.0]}, ""1"": {""eye_contact"": ""True"", ""alertness"": 0.4, ""attention_quality"": 49.768, ""emotional_engagement"": 0.0, ""blink_rate"": 20, ""fidgeting_score"": 0.0005204874674479166, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [0.5, 1.1953125, 0.0]}}"
94,11,2082409.380046791,2,50.0,40.0,6,6,39.484398002074386,"{""0"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 8.0, ""fidgeting_score"": 0.0, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.6666666666666667, 38.6015625, 0.0]}, ""1"": {""eye_contact"": ""True"", ""alertness"": 0.4, ""attention_quality"": 39.896888888888896, ""emotional_engagement"": 0.0, ""blink_rate"": 20, ""fidgeting_score"": 0.004716227213541669, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [1.5833333333333333, 2.7421875, 0.0]}}"
95,11,2082414.527345291,1,0.0,40.0,0,0,25.000100480101725,"{""0"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 6.737864077669903, ""fidgeting_score"": 0.0, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.6666666666666667, 38.6015625, 0.0]}}"
96,11,2082419.587060416,2,50.0,40.0,8,8,39.499838804415425,"{""0"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 5.468879668049793, ""fidgeting_score"": 0.0, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.6666666666666667, 38.6015625, 0.0]}, ""1"": {""eye_contact"": ""True"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 20, ""fidgeting_score"": 0.00523351372612847, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [1.4166666666666665, 3.375, 0.0]}}"
97,11,2082424.699968083,2,50.0,55.00000000000001,0,0,38.32710037905199,"{""0"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 4.521739130434783, ""fidgeting_score"": 0.0, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.75, 38.6015625, 0.0]}, ""10"": {""eye_contact"": ""True"", ""alertness"": 0.7, ""attention_quality"": 50.2, ""emotional_engagement"": 0.0, ""blink_rate"": 8.0, ""fidgeting_score"": 0.05949962022569446, ""attention_span"": 0.2, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-1.8333333333333333, 3.7968750000000004, 0.0]}}"
98,11,2082429.706775916,2,50.0,40.0,2,2,38.189332383186795,"{""0"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 3.787781350482315, ""fidgeting_score"": 0.0, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.75, 38.6015625, 0.0]}, ""10"": {""eye_contact"": ""True"", ""alertness"": 0.4, ""attention_quality"": 51.272, ""emotional_engagement"": 0.0, ""blink_rate"": 20, ""fidgeting_score"": 0.030859537760416677, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-2.3333333333333335, 1.265625, 0.0]}}"
99,11,2082434.727638416,2,50.0,40.0,7,7,38.187109800180465,"{""0"": {""eye_contact"": ""False"", ""alertness"": 0.4, ""attention_quality"": 40.0, ""emotional_engagement"": 0.0, ""blink_rate"": 3.202312138728324, ""fidgeting_score"": 0.0, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.75, 38.6015625, 0.0]}, ""10"": {""eye_contact"": ""True"", ""alertness"": 0.4, ""attention_quality"": 51.248000000000005, ""emotional_engagement"": 0.0, ""blink_rate"": 20, ""fidgeting_score"": 0.0033111979166666667, ""attention_span"": 0.0, ""is_smiling"": false, ""is_laughing"": false, ""head_pose"": [-0.08333333333333334, 3.65625, 0.0]}}"
